scenario,seed,method,mc_revenue,analytical_R
6,8,perimeter_only,84385.9899,69012.1935
6,8,popularity_rank,84217.3829,70358.2510
6,8,greedy_swap,84495.8984,70683.7555
6,8,oracle,84685.8003,72152.0973
6,8,random_search,85261.3734,71330.6855
6,8,simulated_annealing,84708.6656,70906.1542
6,8,GA,85445.4653,71263.7012
6,9,random_valid,84596.9377,70189.0615
6,9,perimeter_only,84047.8435,69012.1935
6,9,popularity_rank,83963.6107,70358.2510
6,9,greedy_swap,84324.2044,70683.7555
6,9,oracle,84268.6415,72152.0973
6,9,random_search,84611.5182,70194.9218
6,9,simulated_annealing,84688.6017,70565.4360
6,9,GA,85381.6389,71109.1215
7,0,random_valid,85074.0114,64699.7249
7,0,perimeter_only,84829.1034,64982.3923
7,0,popularity_rank,85048.2496,64908.1562
7,0,greedy_swap,85296.3430,65704.7447
7,0,oracle,85369.5760,66889.4003
7,0,random_search,86566.0948,66332.9691
7,0,simulated_annealing,86054.8656,65016.9998
7,0,GA,86512.3566,66253.7100
7,1,random_valid,84133.1408,64699.7249
7,1,perimeter_only,83813.0861,64982.3923
7,1,popularity_rank,84673.7050,64908.1562
7,1,greedy_swap,84861.1871,65704.7447
7,1,oracle,84463.5881,66889.4003
7,1,random_search,84773.4255,66354.4198
7,1,simulated_annealing,84656.8941,65520.9076
7,1,GA,85292.8099,66196.2019
7,2,random_valid,84363.0562,64699.7249
7,2,perimeter_only,83409.6115,64982.3923
7,2,popularity_rank,83994.8846,64908.1562
7,2,greedy_swap,84646.9936,65704.7447
7,2,oracle,84341.7095,66889.4003
7,2,random_search,84842.8367,66437.2517
7,2,simulated_annealing,84368.2430,65482.1807
7,2,GA,85379.0515,66125.1622
7,3,random_valid,85098.9145,64699.7249
7,3,perimeter_only,85334.2317,64982.3923
7,3,popularity_rank,85964.5408,64908.1562
7,3,greedy_swap,85603.6775,65704.7447
7,3,oracle,85908.8834,66889.4003
7,3,random_search,86739.6648,66116.7364
7,3,simulated_annealing,86200.9873,65605.5722
7,3,GA,86133.2014,66107.0341
7,4,random_valid,84770.3770,64699.7249
7,4,perimeter_only,84241.7171,64982.3923
7,4,popularity_rank,85160.8368,64908.1562
7,4,greedy_swap,85168.3828,65704.7447
7,4,oracle,85159.6388,66889.4003
7,4,random_search,85469.4606,66271.0808
7,4,simulated_annealing,85498.5072,65225.9815
7,4,GA,85861.4195,65387.9783
7,5,random_valid,84706.9072,64699.7249
7,5,perimeter_only,83656.5161,64982.3923
7,5,popularity_rank,84240.0031,64908.1562
7,5,greedy_swap,84486.5982,65704.7447
7,5,oracle,85235.9845,66889.4003
7,5,random_search,85521.6833,64454.4848
7,5,simulated_annealing,85248.8053,65050.9497
7,5,GA,85646.7369,66090.7927
7,6,random_valid,84803.7810,64699.7249
7,6,perimeter_only,83824.5943,64982.3923
7,6,popularity_rank,84842.6634,64908.1562
7,6,greedy_swap,85030.2867,65704.7447
7,6,oracle,85630.1642,66889.4003
7,6,random_search,86244.3202,66362.4037
7,6,simulated_annealing,85542.2317,65638.5539
7,6,GA,86562.5032,66262.9624
7,7,random_valid,85397.9303,64699.7249
7,7,perimeter_only,84671.2309,64982.3923
7,7,popularity_rank,85317.7139,64908.1562
7,7,greedy_swap,85366.8519,65704.7447
7,7,oracle,86073.2339,66889.4003
7,7,random_search,86327.3927,64924.5249
7,7,simulated_annealing,86106.4164,65798.0619
7,7,GA,86464.6050,66089.4067
7,8,random_valid,84661.3749,64699.7249
7,8,perimeter_only,84070.7754,64982.3923
7,8,popularity_rank,84521.5615,64908.1562
7,8,greedy_swap,85101.5191,65704.7447
7,8,oracle,85687.2725,66889.4003
7,8,random_search,86129.6699,66502.4474
7,8,simulated_annealing,85378.3625,65347.2770
7,8,GA,86109.6015,66288.3349
7,9,random_valid,84390.3197,64699.7249
7,9,perimeter_only,83963.7523,64982.3923
7,9,popularity_rank,84470.8940,64908.1562
7,9,greedy_swap,84707.3730,65704.7447
7,9,oracle,84735.0100,66889.4003
7,9,random_search,85429.6112,66373.4684
7,9,simulated_annealing,85396.6977,65694.0963
7,9,GA,85829.4605,66413.2833
8,0,random_valid,96620.5703,71519.1525
