multiplier,search_seed,layout,replicate,mc_seed,revenue,cf_revenue
1,2,optimized,21,1000021,782138.3963,781751.4136
1,2,optimized,22,1000022,783249.1847,781751.4136
1,2,optimized,23,1000023,779850.8278,781751.4136
1,2,optimized,24,1000024,780555.7315,781751.4136
1,2,optimized,25,1000025,779925.3568,781751.4136
1,2,optimized,26,1000026,780573.7911,781751.4136
1,2,optimized,27,1000027,782375.1531,781751.4136
1,2,optimized,28,1000028,783207.9718,781751.4136
1,2,optimized,29,1000029,780374.7276,781751.4136
1,2,rs,0,1000000,782662.4787,781711.9189
1,2,rs,1,1000001,782535.6515,781711.9189
1,2,rs,2,1000002,781586.3565,781711.9189
1,2,rs,3,1000003,779354.8173,781711.9189
1,2,rs,4,1000004,780979.9363,781711.9189
1,2,rs,5,1000005,780326.5059,781711.9189
1,2,rs,6,1000006,781572.4346,781711.9189
1,2,rs,7,1000007,781554.6072,781711.9189
1,2,rs,8,1000008,783540.6274,781711.9189
1,2,rs,9,1000009,783264.5433,781711.9189
1,2,rs,10,1000010,782479.9040,781711.9189
1,2,rs,11,1000011,782605.7909,781711.9189
1,2,rs,12,1000012,779079.4210,781711.9189
1,2,rs,13,1000013,783564.1181,781711.9189
1,2,rs,14,1000014,780792.8521,781711.9189
1,2,rs,15,1000015,779546.2961,781711.9189
1,2,rs,16,1000016,781144.6083,781711.9189
1,2,rs,17,1000017,783785.6629,781711.9189
1,2,rs,18,1000018,782829.8054,781711.9189
1,2,rs,19,1000019,782216.3816,781711.9189
1,2,rs,20,1000020,782702.0782,781711.9189
1,2,rs,21,1000021,782105.0196,781711.9189
1,2,rs,22,1000022,783211.2984,781711.9189
1,2,rs,23,1000023,779814.3150,781711.9189
1,2,rs,24,1000024,780513.7551,781711.9189
1,2,rs,25,1000025,779882.3446,781711.9189
1,2,rs,26,1000026,780530.1988,781711.9189
1,2,rs,27,1000027,782332.9466,781711.9189
1,2,rs,28,1000028,783169.3098,781711.9189
1,2,rs,29,1000029,780324.4373,781711.9189
1,2,sa,0,1000000,782202.9246,781241.8365
1,2,sa,1,1000001,782057.0173,781241.8365
1,2,sa,2,1000002,781131.7908,781241.8365
1,2,sa,3,1000003,778892.5064,781241.8365
1,2,sa,4,1000004,780523.3572,781241.8365
1,2,sa,5,1000005,779850.1015,781241.8365
1,2,sa,6,1000006,781093.8425,781241.8365
1,2,sa,7,1000007,781081.3327,781241.8365
1,2,sa,8,1000008,783070.4004,781241.8365
1,2,sa,9,1000009,782798.0903,781241.8365
