scenario,seed,method,mc_revenue,cf_revenue,analytical_R
4,8,oracle,77611.5050,77743.9991,96869.3571
4,8,random_search,77620.2553,77753.4550,95386.4003
4,8,simulated_annealing,77926.8481,78064.3101,95818.2889
4,8,simulated_annealing_popstart,77984.3127,78122.1425,95898.7860
4,8,GA,77806.5493,77941.6576,95515.4462
4,9,random_valid,77270.5145,77265.0368,95349.1789
4,9,perimeter_only,77202.9996,77197.6281,94994.7309
4,9,popularity_rank,76975.1735,76968.2503,94535.0922
4,9,greedy_swap,77236.7328,77230.9555,95334.5896
4,9,oracle,77752.7089,77743.9991,96869.3571
4,9,random_search,77778.0588,77770.3063,94892.2638
4,9,simulated_annealing,78134.2925,78126.0097,95881.0513
4,9,simulated_annealing_popstart,78155.6217,78146.7938,96171.5647
4,9,GA,77972.5104,77965.3496,95965.8893
5,0,random_valid,67871.3163,67930.9477,78517.4665
5,0,perimeter_only,67908.5388,67968.8269,78983.9170
5,0,popularity_rank,67711.0452,67770.7473,78773.2338
5,0,greedy_swap,67825.1514,67884.6520,79118.9838
5,0,oracle,68278.8381,68339.7565,80090.9403
5,0,random_search,68174.7632,68234.2927,78424.9451
5,0,simulated_annealing,68387.0748,68447.4836,78924.0830
5,0,simulated_annealing_popstart,68466.7968,68525.7570,79645.0901
5,0,GA,68554.6515,68612.5623,79891.6984
5,1,random_valid,67942.3169,67930.9477,78517.4665
5,1,perimeter_only,67979.9789,67968.8269,78983.9170
5,1,popularity_rank,67782.5194,67770.7473,78773.2338
5,1,greedy_swap,67896.0837,67884.6520,79118.9838
5,1,oracle,68350.2521,68339.7565,80090.9403
5,1,random_search,68238.9896,68226.6386,78450.6423
5,1,simulated_annealing,68611.9172,68601.4138,79541.1274
5,1,simulated_annealing_popstart,68545.6067,68535.2612,79664.1907
5,1,GA,68510.2540,68499.8628,79487.6997
5,2,random_valid,67910.8600,67930.9477,78517.4665
5,2,perimeter_only,67948.0896,67968.8269,78983.9170
5,2,popularity_rank,67750.4724,67770.7473,78773.2338
5,2,greedy_swap,67864.1114,67884.6520,79118.9838
5,2,oracle,68317.0357,68339.7565,80090.9403
5,2,random_search,68195.7458,68218.1954,78477.0663
5,2,simulated_annealing,68505.9132,68527.5734,79321.8334
5,2,simulated_annealing_popstart,68440.4716,68461.4635,79283.5834
5,2,GA,68497.8487,68519.1644,79495.4917
5,3,random_valid,67944.6303,67930.9477,78517.4665
5,3,perimeter_only,67982.6287,67968.8269,78983.9170
5,3,popularity_rank,67784.4044,67770.7473,78773.2338
5,3,greedy_swap,67897.6337,67884.6520,79118.9838
5,3,oracle,68354.5558,68339.7565,80090.9403
5,3,random_search,68284.4805,68269.1446,78956.5524
5,3,simulated_annealing,68483.0937,68471.4929,79427.6418
5,3,simulated_annealing_popstart,68460.2766,68447.9189,79456.9252
5,3,GA,68522.6754,68510.1060,79356.0844
5,4,random_valid,67941.8837,67930.9477,78517.4665
