search_seed,replicate,mc_seed,baseline_revenue,optimized_revenue,diff,rs_revenue,sa_revenue,diff_rs,diff_sa
7,25,1000025,1026574.0949,1045686.2147,19112.1198,1039341.5420,1036088.8893,6344.6727,9597.3253
7,26,1000026,1027544.5125,1046633.9191,19089.4066,1040325.8481,1037092.9518,6308.0710,9540.9673
7,27,1000027,1030310.6289,1049393.6639,19083.0349,1043103.0312,1039849.0212,6290.6327,9544.6427
7,28,1000028,1031936.5005,1051090.8012,19154.3007,1044721.5369,1041456.8072,6369.2642,9633.9940
7,29,1000029,1027375.2763,1046444.1823,19068.9060,1040182.0851,1036915.1200,6262.0973,9529.0624
8,0,1000000,1030251.3003,1048962.8926,18711.5923,1042223.9815,1039801.3111,6738.9111,9161.5815
8,1,1000001,1029829.6858,1048598.5149,18768.8292,1041827.6983,1039391.0590,6770.8166,9207.4559
8,2,1000002,1028655.3877,1047417.7230,18762.3353,1040682.4070,1038287.6315,6735.3159,9130.0915
8,3,1000003,1026160.8872,1044862.1141,18701.2268,1038134.2640,1035751.8364,6727.8501,9110.2777
8,4,1000004,1027609.5291,1046365.7479,18756.2188,1039605.5288,1037204.5272,6760.2191,9161.2207
8,5,1000005,1026960.4493,1045674.4997,18714.0503,1038923.3394,1036544.6845,6751.1603,9129.8151
8,6,1000006,1029037.9274,1047730.4969,18692.5695,1040942.4608,1038589.7708,6788.0361,9140.7260
8,7,1000007,1029353.4805,1048119.1441,18765.6636,1041285.5605,1038916.0096,6833.5836,9203.1345
8,8,1000008,1031743.2567,1050470.8539,18727.5972,1043702.3381,1041291.7759,6768.5158,9179.0781
8,9,1000009,1031577.8318,1050274.7173,18696.8854,1043526.7720,1041155.9910,6747.9452,9118.7263
8,10,1000010,1030826.4140,1049567.9863,18741.5722,1042808.7696,1040389.4994,6759.2166,9178.4868
8,11,1000011,1030820.4158,1049546.3327,18725.9169,1042737.8402,1040357.8712,6808.4926,9188.4615
8,12,1000012,1025577.5806,1044267.9258,18690.3453,1037525.9622,1035137.2764,6741.9637,9130.6494
